Year,Month_Name,Date,State,Vehicle_Class,Vehicle_Category,Vehicle_Type,EV_Sales_Quantity
2014.0,jan,1/1/2014,Arunachal Pradesh,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,THREE WHEELER (PERSONAL),3-Wheelers,3W_Personal,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,TRACTOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,TRAILER (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Assam,AGRICULTURAL TRACTOR,Others,Others,0.0
2014.0,jan,1/1/2014,Assam,AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,Assam,ARTICULATED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Assam,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Assam,CAMPER VAN / TRAILER,Others,Others,0.0
2014.0,jan,1/1/2014,Assam,CRANE MOUNTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Assam,DUMPER,Others,Others,0.0
2014.0,jan,1/1/2014,Assam,EXCAVATOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Assam,EXCAVATOR (NT),Others,Others,0.0
2014.0,jan,1/1/2014,Assam,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Assam,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,Assam,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Assam,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Assam,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Assam,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014.0,jan,1/1/2014,Assam,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,0.0
2014.0,jan,1/1/2014,Assam,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Assam,THREE WHEELER (PERSONAL),3-Wheelers,3W_Personal,0.0
2014.0,jan,1/1/2014,Assam,TRACTOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Assam,TRAILER (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Andaman & Nicobar Island,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Andaman & Nicobar Island,EARTH MOVING EQUIPMENT,Others,Others,0.0
2014.0,jan,1/1/2014,Andaman & Nicobar Island,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Andaman & Nicobar Island,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Andaman & Nicobar Island,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Andaman & Nicobar Island,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Andaman & Nicobar Island,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014.0,jan,1/1/2014,Andaman & Nicobar Island,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2-Wheelers,2W_Shared,0.0
2014.0,jan,1/1/2014,Andaman & Nicobar Island,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Bihar,AGRICULTURAL TRACTOR,Others,Others,0.0
2014.0,jan,1/1/2014,Bihar,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Bihar,CONSTRUCTION EQUIPMENT VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Bihar,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Bihar,HARVESTER,Others,Others,0.0
2014.0,jan,1/1/2014,Bihar,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,Bihar,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Bihar,M-CYCLE/SCOOTER-WITH SIDE CAR,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Bihar,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Bihar,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Bihar,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014.0,jan,1/1/2014,Bihar,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2-Wheelers,2W_Shared,0.0
2014.0,jan,1/1/2014,Bihar,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,0.0
2014.0,jan,1/1/2014,Bihar,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Bihar,TRACTOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Bihar,TRAILER (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,ADAPTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,AGRICULTURAL TRACTOR,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,ARTICULATED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Chhattisgarh,CONSTRUCTION EQUIPMENT VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,CRANE MOUNTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,DUMPER,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,EARTH MOVING EQUIPMENT,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,EDUCATIONAL INSTITUTION BUS,Bus,Institution Bus,0.0
2014.0,jan,1/1/2014,Chhattisgarh,EXCAVATOR (NT),Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,HARVESTER,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,10.0
2014.0,jan,1/1/2014,Chhattisgarh,MOBILE WORKSHOP,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Chhattisgarh,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Chhattisgarh,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014.0,jan,1/1/2014,Chhattisgarh,OMNI BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Chhattisgarh,OMNI BUS (PRIVATE USE),Bus,Bus,0.0
2014.0,jan,1/1/2014,Chhattisgarh,PRIVATE SERVICE VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,0.0
2014.0,jan,1/1/2014,Chhattisgarh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Chhattisgarh,TRACTOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,TRAILER (AGRICULTURAL),Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,TRAILER (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,VEHICLE FITTED WITH COMPRESSOR,Others,Others,0.0
2014.0,jan,1/1/2014,Chhattisgarh,VEHICLE FITTED WITH RIG,Others,Others,0.0
2014.0,jan,1/1/2014,Chandigarh,ADAPTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Chandigarh,AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,Chandigarh,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Chandigarh,CONSTRUCTION EQUIPMENT VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Chandigarh,EDUCATIONAL INSTITUTION BUS,Bus,Institution Bus,0.0
2014.0,jan,1/1/2014,Chandigarh,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Chandigarh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Chandigarh,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Chandigarh,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Chandigarh,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014.0,jan,1/1/2014,Chandigarh,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,0.0
2014.0,jan,1/1/2014,Chandigarh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Chandigarh,TRACTOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,DNH and DD,AGRICULTURAL TRACTOR,Others,Others,0.0
2014.0,jan,1/1/2014,DNH and DD,AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,DNH and DD,CAMPER VAN / TRAILER (PRIVATE USE),Others,Others,0.0
2014.0,jan,1/1/2014,DNH and DD,CRANE MOUNTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,DNH and DD,EXCAVATOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,DNH and DD,EXCAVATOR (NT),Others,Others,0.0
2014.0,jan,1/1/2014,DNH and DD,FORK LIFT,Others,Others,0.0
2014.0,jan,1/1/2014,DNH and DD,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,DNH and DD,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,DNH and DD,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,DNH and DD,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,DNH and DD,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014.0,jan,1/1/2014,DNH and DD,OMNI BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,DNH and DD,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,DNH and DD,TRAILER (AGRICULTURAL),Others,Others,0.0
2014.0,jan,1/1/2014,Delhi,ADAPTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Delhi,AGRICULTURAL TRACTOR,Others,Others,0.0
2014.0,jan,1/1/2014,Delhi,AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,Delhi,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Delhi,CRANE MOUNTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Delhi,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Delhi,LUXURY CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Delhi,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,Delhi,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2.0
2014.0,jan,1/1/2014,Delhi,M-CYCLE/SCOOTER-WITH SIDE CAR,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Delhi,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Delhi,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Delhi,MOTOR CAR,4-Wheelers,4W_Personal,5.0
2014.0,jan,1/1/2014,Delhi,RECOVERY VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Delhi,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,0.0
2014.0,jan,1/1/2014,Delhi,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Delhi,THREE WHEELER (PERSONAL),3-Wheelers,3W_Personal,0.0
2014.0,jan,1/1/2014,Goa,ADAPTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Goa,AGRICULTURAL TRACTOR,Others,Others,0.0
2014.0,jan,1/1/2014,Goa,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Goa,CONSTRUCTION EQUIPMENT VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Goa,CRANE MOUNTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Goa,EARTH MOVING EQUIPMENT,Others,Others,0.0
2014.0,jan,1/1/2014,Goa,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Goa,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,Goa,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Goa,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Goa,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Goa,MOTOR CAR,4-Wheelers,4W_Personal,1.0
2014.0,jan,1/1/2014,Goa,MOTOR CYCLE/SCOOTER-SIDECAR(T),Others,Others,0.0
2014.0,jan,1/1/2014,Goa,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2-Wheelers,2W_Shared,0.0
2014.0,jan,1/1/2014,Goa,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,0.0
2014.0,jan,1/1/2014,Goa,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Gujarat,ADAPTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,AGRICULTURAL TRACTOR,Others,Others,1.0
2014.0,jan,1/1/2014,Gujarat,AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,ANIMAL AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,BREAKDOWN VAN,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Gujarat,CAMPER VAN / TRAILER (PRIVATE USE),Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,CASH VAN,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,CONSTRUCTION EQUIPMENT VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,CRANE MOUNTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,EARTH MOVING EQUIPMENT,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,EXCAVATOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,EXCAVATOR (NT),Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,FIRE FIGHTING VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,FORK LIFT,Others,Others,1.0
2014.0,jan,1/1/2014,Gujarat,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,HARVESTER,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,14.0
2014.0,jan,1/1/2014,Gujarat,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Gujarat,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Gujarat,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014.0,jan,1/1/2014,Gujarat,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2-Wheelers,2W_Shared,0.0
2014.0,jan,1/1/2014,Gujarat,OMNI BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Gujarat,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,0.0
2014.0,jan,1/1/2014,Gujarat,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Gujarat,THREE WHEELER (PERSONAL),3-Wheelers,3W_Personal,0.0
2014.0,jan,1/1/2014,Gujarat,TOW TRUCK,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,TRACTOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,TRACTOR-TROLLEY(COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,TRAILER (AGRICULTURAL),Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,TRAILER (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,VEHICLE FITTED WITH COMPRESSOR,Others,Others,0.0
2014.0,jan,1/1/2014,Gujarat,VEHICLE FITTED WITH RIG,Others,Others,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,ADAPTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,AGRICULTURAL TRACTOR,Others,Others,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,EARTH MOVING EQUIPMENT,Others,Others,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,EDUCATIONAL INSTITUTION BUS,Bus,Institution Bus,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,EXCAVATOR (NT),Others,Others,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,MOTOR CAR,4-Wheelers,4W_Personal,1.0
2014.0,jan,1/1/2014,Himachal Pradesh,OMNI BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,OMNI BUS (PRIVATE USE),Bus,Bus,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,PRIVATE SERVICE VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Others,Others,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,RECOVERY VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Himachal Pradesh,TRACTOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,AGRICULTURAL TRACTOR,Others,Others,1.0
2014.0,jan,1/1/2014,Haryana,AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,BULLDOZER,Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Haryana,CONSTRUCTION EQUIPMENT VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,CRANE MOUNTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,EARTH MOVING EQUIPMENT,Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,EDUCATIONAL INSTITUTION BUS,Bus,Institution Bus,0.0
2014.0,jan,1/1/2014,Haryana,EXCAVATOR (NT),Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,FORK LIFT,Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,HARVESTER,Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,HEARSES,Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Haryana,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Haryana,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Haryana,MOTOR CAR,4-Wheelers,4W_Personal,1.0
2014.0,jan,1/1/2014,Haryana,OMNI BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Haryana,RECOVERY VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Haryana,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,0.0
2014.0,jan,1/1/2014,Haryana,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Haryana,TRACTOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Jharkhand,AGRICULTURAL TRACTOR,Others,Others,0.0
2014.0,jan,1/1/2014,Jharkhand,AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,Jharkhand,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Jharkhand,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Jharkhand,EXCAVATOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Jharkhand,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Jharkhand,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,Jharkhand,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Jharkhand,MOPED,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Jharkhand,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Jharkhand,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014.0,jan,1/1/2014,Jharkhand,OMNI BUS (PRIVATE USE),Bus,Bus,0.0
2014.0,jan,1/1/2014,Jharkhand,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,0.0
2014.0,jan,1/1/2014,Jharkhand,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,1.0
2014.0,jan,1/1/2014,Jharkhand,TRACTOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Jharkhand,TRACTOR-TROLLEY(COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Jharkhand,TRAILER (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Jharkhand,VEHICLE FITTED WITH COMPRESSOR,Others,Others,0.0
2014.0,jan,1/1/2014,Karnataka,ADAPTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Karnataka,AGRICULTURAL TRACTOR,Others,Others,0.0
2014.0,jan,1/1/2014,Karnataka,AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,Karnataka,ARTICULATED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Karnataka,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Karnataka,CONSTRUCTION EQUIPMENT VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Karnataka,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Karnataka,CRANE MOUNTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Karnataka,EARTH MOVING EQUIPMENT,Others,Others,0.0
2014.0,jan,1/1/2014,Karnataka,EDUCATIONAL INSTITUTION BUS,Bus,Institution Bus,0.0
